inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type,,,,,,,,,,,,
12UVp36jCPF17x8TqTSXN8RPGgPwm8kcHc,114Hqf9voyqmv5A1k8vcux1QDKEPsjCy2Z,1LGHXar1UwN25XQzsrUNgD8GH895Gnvfd4,1.3316,1.3199614,0.01104119,119.5488348629088 : 1,2017-08-22 3:26,59741,P2PKH,,,,,,,,,,,,
1JyoVsLjVEnS3qTvy2QYzgDtxhs32qZ1Uy,1HNbqUDMqexXexLqs5oYvTiBzCwKG1KWrb,1FeEc6mMxNL5oauFuH2MqYCSsqkqa8W82y,1.27850409,0.21109312,1.06686686,5.054010571258789 : 1,2017-07-16 22:15,54411,P2PKH,,,,,,,,,,,,
172HxpbAihZBfoSPGFs8mk42Cv8wpxbnV9,1P2SzT4TuuBvkbhd4gmp2ZraeJoQqi4GYZ,17CKLnm4dovb1qShiaKubZ4RbaTow3sYjN,3.88299752,0.98115688,2.90104805,2.956762684067404 : 1,2017-06-25 16:46,79259,P2PKH,,,,,,,,,,,,
1Mwyenz3XVx7aQ2WRTLfedUP3xDS5srByb,1PNa4F9nTjEXhmobxZAZVnzDfmKfqfcbyW,1PYvx8ackrfaggep9Y89kVV3XrY7V9aQrD,10,2.37110356,7.6286436,3.2173388495945745 : 1,2017-07-18 13:45,25284,P2PKH,,,,,,,,,,,,
1ASLv2vWfe6Endg3s1GXaLWJBTbqt2Bf67,1GEd3uw4v9LMShJaq8fVHJVueNHs18eMHk,19XcuLW95WA4RXnZsn3hEHaKdLCbe2TW81,2.30239572,0.96690259,1.3349973,1.3806947192064094 : 1,2017-07-22 1:12,49583,P2PKH,,,,,,,,,,,,
18Ng4UV2fYQsGvbTVvMfLzFe5ccP2nYbw1,1FYNwpNgmqUF3dmMzLBTHYHmEnZiKbyVKU,19sVM1FBB3t6bXHhBhkxoacXzo3z9NEuph,0.25,0.01261054,0.23704881,18.797673216214374 : 1,2017-09-13 19:19,34065,P2PKH,,,,,,,,,,,,
15fKjfad2yePTyjbgLvDwtxpqwq7e9eHZK,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1EBLERchJNwK5a8K5sV8qWFgMjsW6xKwWK,4.19817044,1.2843524,2.91301916,2.2680840242911526 : 1,2017-06-27 22:27,79888,P2PKH,,,,,,,,,,,,
1JL62RtN5fgbfDbjkoXRFqgBtWUgjcyuss,1Cuhk3uL8kTeetsn7bp5Xkammpt96hR18C,1ECko2tFrqf2xVwTC9FTXZRBX948WBD7Nt,1.8106775,1.01261275,0.79738675,1.2699141915764212 : 1,2017-09-02 16:58,67800,P2PKH,,,,,,,,,,,,
1PYeFkUGEqKiCPFabyfbSPBEHj5x1RymdV,18a4KgeHPwjcJPCp5byJ5P89bj67iDxFTp,14wL1fzPVmPExKerLPZf6aq35u35PQcSKZ,206.5124338,197.5422558,8.9695,22.023775660850664 : 1,2017-09-08 21:45,67800,P2PKH,,,,,,,,,,,,
1FPTVzNw8QAFjNQmMStpVo9DCT4tcLL3AX,1LZcovunYtVa2NykMXpLUbz6nsxm7JZE77,1P9QSLXq2Jces8hSXdawDG6mbXVSKT5ghR,4.2973786,0.15330169,4.14366885,27.029505349875794 : 1,2017-07-11 21:36,40806,P2PKH,,,,,,,,,,,,
