inputAddr,outputAddr1,outputAddr2,inputBTC,outputBTC1,outputBTC2,peeling ratio,TxTime,Fee,Address Type
18HqBkA8eKmkCp1uDPnJDwVvgF8x6rSsJ,17J5PJaGJLQV2miikorFsqkhWx5JzaDgMu,1KJNhi3XsRQZzQ8KeJMFhkpQSUHxHqwZ3z,150.59724551,0.0024663,150.59421421,61060.78506669911 : 1,2017-08-16 19:18:52,56500,P2PKH
1AFFDpGSqpJZ9y2ABfh1GpAnm4Xu5pCZHH,19WEnH4n7st3dGAjkJ5pdYUUwBntaCd5L2,1686kuo7kfu3UgtzNDTE9vMEwaWoeYqGEH,4.3284422,0.82551856,3.50232243,4.242572607937488 : 1,2017-07-11 14:51:19,60121,P2PKH
1KZ6aN7aQimwmCN671G59JdQC1DbfCrhZ,17Y5jhp6Pk7dvCqExR6Rv1NVh5Yh6SEFq5,1CfjwWSWPbgSE9YQHdXGM78KwZDeMDwzph,4.43331331,0.2166984,4.21581605,19.454763163918145 : 1,2017-06-27 20:16:15,79886,P2PKH
1DV8jwxLhZdqUmaqooPZbi8uDUaNcWx1y,12kFvcSX6x8JWya3WiwLJnUe4bKPJAcTCh,1LVcZCMwJvT8bFvWDwvWopduFojpZMjeJ9,4.28265525,1.63556949,2.64648402,1.618081063617786 : 1,2017-07-14 16:43:07,60174,P2PKH
19EQC14fspxMSe7KY4HsZEpBDoSjy9tKSu,1H73UzjRDi4z1QAMeoSMQncCv4Z3x6bxuz,1LSz4kzwC5xRqbipxFjkNetZR86onEjuXb,4.33087917,0.3341506,3.99618229,11.95922524155276 : 1,2017-07-12 21:59:33,54628,P2PKH
1B6joK3LVmSkiRTWHNn8rjnPrQzFkWR82h,19CDr8ruBn6EtXsxDiEELGfrJA3EH5GZ3g,1AArwgZ9JPkRX17eWjixTNBH9LVcgBmTbe,458.17037958,4.8326,453.33710458,93.80811666183834 : 1,2017-07-20 13:54:48,67500,P2PKH
1N3XdJrvRWA1r4LJhKx6JBjV5Wf7bsWaBh,14b7MHcrUNwP7pXpMSQKSZwrLD9SBjSaEU,1FdwArHfYVx8jW3F33stwDs8cLo4WrVngQ,1.73465887,0.68895866,1.04552688,1.5175466115775365 : 1,2017-07-07 03:06:12,17333,P2PKH
19fYNRiFwVKjfCqoJLNZahvPQGMEHVLPfQ,1LWGeuoKA2Hk1CrL66GGP2kxB6z3oHtbt9,1LPftppyN6MCoESmUc2mCyoHF2J1fRBJW5,4.18411793,0.51138265,3.67219068,7.180905883295023 : 1,2017-07-13 22:38:40,54460,P2PKH
12NYr7fXBxWNWVy9MqGWnnFPdFkp79JoZr,1MFELVbgpD2j5u5vRFFeuXLtHUzuTNoPEo,1Ea9f2oHyYfCVt4Jn8miyVTZpr9rdRDkKh,0.38491148,0.04692157,0.33732494,7.189123040853066 : 1,2017-07-06 19:45:21,66497,P2PKH
1DVSfELFnfbCpYgTEEcZKvSLvk5AoJrxqr,1PmA2y8RWNP9ggYW8NWBEmYoH8hAP1iSPW,1JTPFafVwygSXcnLeNTFyKo38sxWTUVhym,1.72479878,0.22750068,1.49663337,6.578588556306733 : 1,2017-07-06 11:34:32,66473,P2PKH
13eT4SXY7kknchBud8Jgbyemj1U35qZqEu,3CtNfhKvch6hx6ChMtAnzUq2PL4XWvcKvk,1448bnMzyuoKKR6KmHzojv8ns5qF2iGexz,3.99680256,0.26511949,3.73102692,14.073001271992489 : 1,2017-07-08 20:04:44,65615,P2PKH
